MLS Number,Address,City,List Price,List Date,DOM,Status,Property Type,Building SqFt,# of Bedrooms,Full Baths,Subdivision
A260001,301 Gulf View Dr,Port Aransas,207000,2025-02-02,41,Active,Detached,825,3,3,Port Aransas
A260002,302 Gulf View Dr,Port Aransas,264000,2025-03-03,52,Active,Detached,850,4,4,Port Aransas
A260003,303 Gulf View Dr,Port Aransas,321000,2025-04-04,63,Active,Condo,875,5,2,Port Aransas
A260004,304 Gulf View Dr,Port Aransas,378000,2025-05-05,74,Active,Detached,900,2,3,Cinnamon Shore
A260005,305 Gulf View Dr,Port Aransas,1750000,2025-06-06,85,Active,Detached,925,3,4,Port Aransas
A260006,306 Gulf View Dr,Port Aransas,492000,2025-07-07,96,Active,Condo,950,4,2,Port Aransas
A260007,307 Gulf View Dr,Port Aransas,465000,2025-08-08,107,Active,Detached,975,5,3,Port Aransas
A260008,308 Gulf View Dr,Port Aransas,522000,2025-09-09,118,Active,Detached,1000,2,4,Cinnamon Shore
A260009,309 Gulf View Dr,Port Aransas,579000,2025-10-10,129,Active,Condo,1025,3,2,Port Aransas
A260010,310 Gulf View Dr,Port Aransas,1000000,2025-11-11,140,Active,Detached,1050,4,3,Port Aransas
A260011,311 Gulf View Dr,Port Aransas,693000,2025-12-12,151,Active,Detached,1075,5,4,Port Aransas
A260012,312 Gulf View Dr,Port Aransas,750000,2025-01-13,162,Active,Condo,1100,2,2,Cinnamon Shore
A260013,313 Gulf View Dr,Port Aransas,807000,2025-02-14,173,Active,Detached,1125,3,3,Port Aransas
A260014,314 Gulf View Dr,Port Aransas,780000,2025-03-15,184,Active,Detached,1150,4,4,Port Aransas
A260015,315 Gulf View Dr,Port Aransas,1750000,2025-04-16,195,Active,Condo,1175,5,2,Port Aransas
A260016,316 Gulf View Dr,Port Aransas,894000,2025-05-17,206,Active,Detached,1200,2,3,Cinnamon Shore
A260017,317 Gulf View Dr,Port Aransas,951000,2025-06-18,217,Active,Detached,1225,3,4,Port Aransas
A260018,318 Gulf View Dr,Port Aransas,1008000,2025-07-19,228,Active,Condo,1250,4,2,Port Aransas
A260019,319 Gulf View Dr,Port Aransas,1065000,2025-08-20,239,Active,Detached,1275,5,3,Port Aransas
A260020,320 Gulf View Dr,Port Aransas,1000000,2025-09-21,250,Active,Detached,1300,2,4,Cinnamon Shore
A260021,321 Gulf View Dr,Port Aransas,1095000,2025-10-22,261,Active,Condo,1325,3,2,Port Aransas
A260022,322 Gulf View Dr,Port Aransas,1152000,2025-11-23,272,Active,Detached,1350,4,3,Port Aransas
A260023,323 Gulf View Dr,Port Aransas,1209000,2025-12-24,283,Active,Detached,1375,5,4,Port Aransas
A260024,324 Gulf View Dr,Port Aransas,1266000,2025-01-25,294,Active,Condo,1400,2,2,Cinnamon Shore
A260025,325 Gulf View Dr,Port Aransas,1750000,2025-02-26,305,Active,Detached,1425,3,3,Port Aransas
A260026,326 Gulf View Dr,Port Aransas,1380000,2025-03-27,316,Active,Detached,1450,4,4,Port Aransas
A260027,327 Gulf View Dr,Port Aransas,1437000,2025-04-01,327,Active,Condo,1475,5,2,Port Aransas
A260028,328 Gulf View Dr,Port Aransas,1410000,2025-05-02,38,Active,Detached,1500,2,3,Cinnamon Shore
A260029,329 Gulf View Dr,Port Aransas,1467000,2025-06-03,49,Active,Detached,1525,3,4,Port Aransas
A260030,330 Gulf View Dr,Port Aransas,1000000,2025-07-04,60,Active,Condo,1550,4,2,Port Aransas
A260031,331 Gulf View Dr,Port Aransas,1581000,2025-08-05,71,Active,Detached,1575,5,3,Port Aransas
A260032,332 Gulf View Dr,Port Aransas,1638000,2025-09-06,82,Active,Detached,1600,2,4,Cinnamon Shore
A260033,333 Gulf View Dr,Port Aransas,1695000,2025-10-07,93,Active,Condo,1625,3,2,Port Aransas
A260034,334 Gulf View Dr,Port Aransas,1752000,2025-11-08,104,Active,Detached,1650,4,3,Port Aransas
A260035,335 Gulf View Dr,Port Aransas,1750000,2025-12-09,115,Active,Detached,1675,5,4,Port Aransas
A260036,336 Gulf View Dr,Port Aransas,1782000,2025-01-10,126,Active,Condo,1700,2,2,Cinnamon Shore
A260037,337 Gulf View Dr,Port Aransas,1839000,2025-02-11,137,Active,Detached,1725,3,3,Port Aransas
A260038,338 Gulf View Dr,Port Aransas,1896000,2025-03-12,148,Active,Detached,1750,4,4,Port Aransas
A260039,339 Gulf View Dr,Port Aransas,1953000,2025-04-13,159,Active,Condo,1775,5,2,Port Aransas
A260040,340 Gulf View Dr,Port Aransas,1000000,2025-05-14,170,Active,Detached,1800,2,3,Cinnamon Shore
A260041,341 Gulf View Dr,Port Aransas,267000,2025-06-15,181,Active,Detached,1825,3,4,Port Aransas
A260042,342 Gulf View Dr,Port Aransas,240000,2025-07-16,192,Active,Condo,1850,4,2,Port Aransas
A260043,343 Gulf View Dr,Port Aransas,297000,2025-08-17,203,Active,Detached,1875,5,3,Port Aransas
A260044,344 Gulf View Dr,Port Aransas,354000,2025-09-18,214,Active,Detached,1900,2,4,Cinnamon Shore
A260045,345 Gulf View Dr,Port Aransas,1750000,2025-10-19,225,Active,Condo,1925,3,2,Port Aransas
A260046,346 Gulf View Dr,Port Aransas,468000,2025-11-20,236,Active,Detached,1950,4,3,Port Aransas
A260047,347 Gulf View Dr,Port Aransas,525000,2025-12-21,247,Active,Detached,1975,5,4,Port Aransas
A260048,348 Gulf View Dr,Port Aransas,582000,2025-01-22,258,Active,Condo,2000,2,2,Cinnamon Shore
A260049,349 Gulf View Dr,Port Aransas,555000,2025-02-23,269,Active,Detached,2025,3,3,Port Aransas
A260050,350 Gulf View Dr,Port Aransas,1000000,2025-03-24,280,Active,Detached,2050,4,4,Port Aransas
A260051,351 Gulf View Dr,Port Aransas,669000,2025-04-25,291,Active,Condo,2075,5,2,Port Aransas
A260052,352 Gulf View Dr,Port Aransas,726000,2025-05-26,302,Active,Detached,2100,2,3,Cinnamon Shore
A260053,353 Gulf View Dr,Port Aransas,783000,2025-06-27,313,Active,Detached,2125,3,4,Port Aransas
A260054,354 Gulf View Dr,Port Aransas,840000,2025-07-01,324,Active,Condo,2150,4,2,Port Aransas
A260055,355 Gulf View Dr,Port Aransas,1750000,2025-08-02,35,Active,Detached,2175,5,3,Port Aransas
A260056,356 Gulf View Dr,Port Aransas,870000,2025-09-03,46,Active,Detached,2200,2,4,Cinnamon Shore
A260057,357 Gulf View Dr,Port Aransas,927000,2025-10-04,57,Active,Condo,2225,3,2,Port Aransas
A260058,358 Gulf View Dr,Port Aransas,984000,2025-11-05,68,Active,Detached,2250,4,3,Port Aransas
A260059,359 Gulf View Dr,Port Aransas,1041000,2025-12-06,79,Active,Detached,2275,5,4,Port Aransas
A260060,360 Gulf View Dr,Port Aransas,1000000,2025-01-07,90,Active,Condo,2300,2,2,Cinnamon Shore
A260061,361 Gulf View Dr,Port Aransas,1155000,2025-02-08,101,Active,Detached,2325,3,3,Port Aransas
A260062,362 Gulf View Dr,Port Aransas,1212000,2025-03-09,112,Active,Detached,2350,4,4,Port Aransas
A260063,363 Gulf View Dr,Port Aransas,1185000,2025-04-10,123,Active,Condo,2375,5,2,Port Aransas
A260064,364 Gulf View Dr,Port Aransas,1242000,2025-05-11,134,Active,Detached,2400,2,3,Cinnamon Shore
A260065,365 Gulf View Dr,Port Aransas,1750000,2025-06-12,145,Active,Detached,2425,3,4,Port Aransas
A260066,366 Gulf View Dr,Port Aransas,1356000,2025-07-13,156,Active,Condo,2450,4,2,Port Aransas
A260067,367 Gulf View Dr,Port Aransas,1413000,2025-08-14,167,Active,Detached,2475,5,3,Port Aransas
A260068,368 Gulf View Dr,Port Aransas,1470000,2025-09-15,178,Active,Detached,2500,2,4,Cinnamon Shore
A260069,369 Gulf View Dr,Port Aransas,1527000,2025-10-16,189,Active,Condo,2525,3,2,Port Aransas
A260070,370 Gulf View Dr,Port Aransas,1000000,2025-11-17,200,Active,Detached,2550,4,3,Port Aransas
A260071,371 Gulf View Dr,Port Aransas,1557000,2025-12-18,211,Active,Detached,2575,5,4,Port Aransas
A260072,372 Gulf View Dr,Port Aransas,1614000,2025-01-19,222,Active,Condo,2600,2,2,Cinnamon Shore
A260073,373 Gulf View Dr,Port Aransas,1671000,2025-02-20,233,Active,Detached,2625,3,3,Port Aransas
A260074,374 Gulf View Dr,Port Aransas,1728000,2025-03-21,244,Active,Detached,2650,4,4,Port Aransas
A260075,375 Gulf View Dr,Port Aransas,1750000,2025-04-22,255,Active,Condo,2675,5,2,Port Aransas
A260076,376 Gulf View Dr,Port Aransas,1842000,2025-05-23,266,Active,Detached,2700,2,3,Cinnamon Shore
A260077,377 Gulf View Dr,Port Aransas,1815000,2025-06-24,277,Active,Detached,2725,3,4,Port Aransas
A260078,378 Gulf View Dr,Port Aransas,1872000,2025-07-25,288,Active,Condo,2750,4,2,Port Aransas
A260079,379 Gulf View Dr,Port Aransas,1929000,2025-08-26,299,Active,Detached,2775,5,3,Port Aransas
A260080,380 Gulf View Dr,Port Aransas,1000000,2025-09-27,310,Active,Detached,2800,2,4,Cinnamon Shore
A260081,381 Gulf View Dr,Port Aransas,243000,2025-10-01,321,Active,Condo,2825,3,2,Port Aransas
A260082,382 Gulf View Dr,Port Aransas,300000,2025-11-02,32,Active,Detached,2850,4,3,Port Aransas
A260083,383 Gulf View Dr,Port Aransas,357000,2025-12-03,43,Active,Detached,2875,5,4,Port Aransas
A260084,384 Gulf View Dr,Port Aransas,330000,2025-01-04,54,Active,Condo,2900,2,2,Cinnamon Shore
A260085,385 Gulf View Dr,Port Aransas,1750000,2025-02-05,65,Active,Detached,2925,3,3,Port Aransas
A260086,386 Gulf View Dr,Port Aransas,444000,2025-03-06,76,Active,Detached,2950,4,4,Port Aransas
A260087,387 Gulf View Dr,Port Aransas,501000,2025-04-07,87,Active,Condo,2975,5,2,Port Aransas
A260088,388 Gulf View Dr,Port Aransas,558000,2025-05-08,98,Active,Detached,3000,2,3,Cinnamon Shore
A260089,389 Gulf View Dr,Port Aransas,615000,2025-06-09,109,Active,Detached,3025,3,4,Port Aransas
A260090,390 Gulf View Dr,Port Aransas,1000000,2025-07-10,120,Active,Condo,3050,4,2,Port Aransas
A260091,391 Gulf View Dr,Port Aransas,645000,2025-08-11,131,Active,Detached,3075,5,3,Port Aransas
A260092,392 Gulf View Dr,Port Aransas,702000,2025-09-12,142,Active,Detached,3100,2,4,Cinnamon Shore
A260093,393 Gulf View Dr,Port Aransas,759000,2025-10-13,153,Active,Condo,3125,3,2,Port Aransas
A260094,394 Gulf View Dr,Port Aransas,816000,2025-11-14,164,Active,Detached,3150,4,3,Port Aransas
A260095,395 Gulf View Dr,Port Aransas,1750000,2025-12-15,175,Active,Detached,3175,5,4,Port Aransas
A260096,396 Gulf View Dr,Port Aransas,930000,2025-01-16,186,Active,Condo,3200,2,2,Cinnamon Shore
A260097,397 Gulf View Dr,Port Aransas,987000,2025-02-17,197,Active,Detached,3225,3,3,Port Aransas
A260098,398 Gulf View Dr,Port Aransas,960000,2025-03-18,208,Active,Detached,3250,4,4,Port Aransas
