MLS Number,Address,City,Sale Price,List Price,Close Date,List Date,DOM,Days to Close,Status,Property Type,Building SqFt,# of Bedrooms,Full Baths,Subdivision
PA250001,201 Sample Ave #1,Port Aransas,140000,152000,2025-06-09,2024-11-02,65,19,Sold,Detached,885,2,2,Port Aransas
PA250002,202 Sample Ave #2,Port Aransas,190000,202000,2025-06-10,2024-11-03,70,20,Sold,Detached,920,3,2,Port Aransas
PA250003,203 Sample Ave #3,Port Aransas,240000,252000,2025-06-11,2024-11-04,75,21,Sold,Condo,955,4,3,Port Aransas
PA250004,204 Sample Ave #4,Port Aransas,290000,302000,2025-06-12,2024-11-05,80,22,Sold,Detached,990,5,2,Port Aransas
PA250005,205 Sample Ave #5,Port Aransas,310000,322000,2025-06-13,2024-11-06,85,23,Sold,Detached,1025,2,2,Port Aransas
PA250006,206 Sample Ave #6,Port Aransas,340000,356000,2025-06-14,2024-11-07,90,24,Sold,Detached,1060,3,3,Port Aransas
PA250007,207 Sample Ave #7,Port Aransas,380000,392000,2025-06-15,2024-11-08,95,25,Sold,Condo,1095,4,2,Port Aransas
PA250008,208 Sample Ave #8,Port Aransas,410000,426000,2025-06-16,2024-11-09,100,26,Sold,Detached,1130,5,2,Port Aransas
PA250009,209 Sample Ave #9,Port Aransas,440000,452000,2025-06-17,2024-11-10,105,27,Sold,Detached,1165,2,3,Port Aransas
PA250010,210 Sample Ave #10,Port Aransas,480000,496000,2025-06-18,2024-11-11,110,28,Sold,Detached,1200,3,2,Port Aransas
PA250011,211 Sample Ave #11,Port Aransas,510000,522000,2025-06-19,2024-11-12,115,29,Sold,Condo,1235,4,2,Port Aransas
PA250012,212 Sample Ave #12,Port Aransas,560000,576000,2025-06-20,2024-11-13,120,30,Sold,Detached,1270,5,3,Port Aransas
PA250013,213 Sample Ave #13,Port Aransas,600000,612000,2025-06-21,2024-11-14,125,31,Sold,Detached,1305,2,2,Port Aransas
PA250014,214 Sample Ave #14,Port Aransas,615000,627000,2025-06-22,2024-11-15,130,18,Sold,Detached,1340,3,2,Port Aransas
PA250015,215 Sample Ave #15,Port Aransas,620000,636000,2025-06-23,2024-11-16,135,19,Sold,Condo,1375,4,3,Port Aransas
PA250016,216 Sample Ave #16,Port Aransas,640000,652000,2025-06-24,2024-11-17,140,20,Sold,Detached,1410,5,2,Port Aransas
PA250017,217 Sample Ave #17,Port Aransas,690000,706000,2025-06-25,2024-11-18,145,21,Sold,Detached,1445,2,2,Port Aransas
PA250018,218 Sample Ave #18,Port Aransas,720000,732000,2025-06-26,2024-11-19,150,22,Sold,Detached,1480,3,3,Port Aransas
PA250019,219 Sample Ave #19,Port Aransas,800000,816000,2025-06-27,2024-11-20,155,23,Sold,Condo,1515,4,2,Port Aransas
PA250020,220 Sample Ave #20,Port Aransas,880000,892000,2025-06-08,2024-11-21,160,24,Sold,Detached,1550,5,2,Port Aransas
PA250021,221 Sample Ave #21,Port Aransas,950000,966000,2025-06-09,2024-11-22,165,25,Sold,Detached,1585,2,3,Port Aransas
PA250022,222 Sample Ave #22,Port Aransas,1050000,1062000,2025-06-10,2024-11-23,170,26,Sold,Detached,1620,3,2,Port Aransas
PA250023,223 Sample Ave #23,Port Aransas,1150000,1166000,2025-06-11,2024-11-24,175,27,Sold,Condo,1655,4,2,Port Aransas
PA250024,224 Sample Ave #24,Port Aransas,1300000,1316000,2025-06-12,2024-11-25,180,28,Sold,Detached,1690,5,3,Port Aransas
PA250025,225 Sample Ave #25,Port Aransas,1450000,1462000,2025-06-13,2024-11-26,185,29,Sold,Detached,1725,2,2,Port Aransas
PA250026,226 Sample Ave #26,Port Aransas,1600000,1616000,2025-06-14,2024-11-27,190,30,Sold,Detached,1760,3,2,Port Aransas
PA250027,227 Sample Ave #27,Port Aransas,1900000,1912000,2025-06-15,2024-11-01,195,31,Sold,Condo,1795,4,3,Port Aransas
PA250028,228 Sample Ave #28,Port Aransas,2300000,2316000,2025-06-16,2024-11-02,200,18,Sold,Detached,1830,5,2,Port Aransas
